,model,avg_accuracy,avg_f1_score
6,RandomForest,0.8444444444444444,0.8538301017302844
4,SVM,0.8441520467836258,0.8567806267806268
0,NearestMeans,0.8377192982456141,0.8512913075415968
7,MLP,0.8339181286549706,0.8510277880014723
3,NB,0.8327485380116958,0.8489550019872599
2,KNN,0.7903508771929824,0.8220463746779535
5,DecisionTree,0.7447368421052631,0.7282485216308746
1,Trivial,0.4871345029239766,0.42097948122338363
